ticker,price_date,close_price
AAPL,2016-11-01,109.17
JNJ,2016-11-01,112.34
JPM,2016-11-01,67.431
KO,2016-11-01,40.74
MSFT,2016-11-01,58.394
XOM,2016-11-01,79.876
AAPL,2016-11-02,109.27
JNJ,2016-11-02,111.86
JPM,2016-11-02,67.147
KO,2016-11-02,40.671
MSFT,2016-11-02,58.032
XOM,2016-11-02,79.684
AAPL,2016-11-03,108.09
JNJ,2016-11-03,112.03
JPM,2016-11-03,66.854
KO,2016-11-03,40.653
MSFT,2016-11-03,57.818
XOM,2016-11-03,79.886
AAPL,2016-11-04,107.11
JNJ,2016-11-04,112.11
JPM,2016-11-04,66.248
KO,2016-11-04,40.324
MSFT,2016-11-04,57.33
XOM,2016-11-04,79.798
AAPL,2016-11-07,108.66
JNJ,2016-11-07,113.62
JPM,2016-11-07,68.321
KO,2016-11-07,41.068
MSFT,2016-11-07,58.999
XOM,2016-11-07,81.595
AAPL,2016-11-08,109.31
JNJ,2016-11-08,114
JPM,2016-11-08,68.468
KO,2016-11-08,41.475
MSFT,2016-11-08,59.047
XOM,2016-11-08,82.181
AAPL,2016-11-09,109.13
JNJ,2016-11-09,117.16
JPM,2016-11-09,71.616
KO,2016-11-09,40.885
MSFT,2016-11-09,58.754
XOM,2016-11-09,83.086
AAPL,2016-11-10,106.08
JNJ,2016-11-10,116.42
JPM,2016-11-10,74.94
KO,2016-11-10,39.599
MSFT,2016-11-10,57.32
XOM,2016-11-10,83.858
AAPL,2016-11-11,106.72
JNJ,2016-11-11,115.39
JPM,2016-11-11,74.979
KO,2016-11-11,39.685
MSFT,2016-11-11,57.632
XOM,2016-11-11,82.529
AAPL,2016-11-14,104.04
JNJ,2016-11-14,113.56
JPM,2016-11-14,77.736
KO,2016-11-14,39.821
MSFT,2016-11-14,56.753
XOM,2016-11-14,82.152
AAPL,2016-11-15,105.41
JNJ,2016-11-15,113.28
JPM,2016-11-15,77.589
KO,2016-11-15,40.082
MSFT,2016-11-15,57.874
XOM,2016-11-15,83.636
AAPL,2016-11-16,108.25
JNJ,2016-11-16,113.32
JPM,2016-11-16,75.673
KO,2016-11-16,39.907
MSFT,2016-11-16,58.641
XOM,2016-11-16,82.606
AAPL,2016-11-17,108.21
JNJ,2016-11-17,113.53
JPM,2016-11-17,76.28
KO,2016-11-17,39.772
MSFT,2016-11-17,59.613
XOM,2016-11-17,82.105
AAPL,2016-11-18,108.31
JNJ,2016-11-18,113.13
JPM,2016-11-18,75.976
KO,2016-11-18,39.569
MSFT,2016-11-18,59.328
XOM,2016-11-18,82.152
AAPL,2016-11-21,109.96
JNJ,2016-11-21,112.77
JPM,2016-11-21,76.31
KO,2016-11-21,40.004
MSFT,2016-11-21,59.829
XOM,2016-11-21,83.318
AAPL,2016-11-22,110.03
JNJ,2016-11-22,110.56
JPM,2016-11-22,76.778
KO,2016-11-22,40.014
MSFT,2016-11-22,60.076
XOM,2016-11-22,83.501
AAPL,2016-11-23,109.47
